"GBAC","country","host","collection_date","serotype","Topotype","color"
"KJ933864/MYS/Unknown/1997/A","MYS","Unknown",1997,"A","ASIA","#CBCB47"
"KM268896/TUR/cattle/2013/A","TUR","cattle",2013,"A","ASIA","#C2C232"
"KP940474/EGY/cattle/2014/A","EGY","cattle",2014,"A","AFRICA","#83CDC1"
"KT968663/CHN/yak/2013/A","CHN","yak",2013,"A","ASIA","#D7D765"
"KU127247/SAU/cattle/2015/A","SAU","cattle",2015,"A","ASIA","#B4B410"
"KX002176/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C8C3E5"
"KX002177/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C0BBDE"
"KX002178/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BFBADD"
"KX002179/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#D1CDED"
"KX002180/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CFCBEC"
"KX002181/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B7B2D6"
"KX002182/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CBC7E8"
"KX002183/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CECAEB"
"KX002184/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C4C0E2"
"KX002185/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B6B1D5"
"KX002186/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#AFAACF"
"KX002187/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C1BDDF"
"KX002188/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BBB7DA"
"KX002189/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C3BFE1"
"KX002190/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#ACA7CC"
"KX002191/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#ABA6CB"
"KX002192/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C2BEE0"
"KX002193/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#AAA5CA"
"KX002194/ARG/cattle/2000/A","ARG","cattle",2000,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#AEA9CE"
"KX002196/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A9A4C9"
"KX002197/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CAC6E7"
"KX002198/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C9C5E6"
"KX002199/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BEB9DC"
"KX002200/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BDB8DB"
"KX002201/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BAB6D9"
"KX002202/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#ADA8CD"
"KX002203/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B0ABD0"
"KX002204/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CCC8E9"
"KX002205/ARG/cattle/2001/A","ARG","cattle",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C5C1E3"
"KY322675/LAO/cattle/2014/A","LAO","cattle",2014,"A","ASIA","#EAEA95"
"KY322676/MYS/cattle/2013/A","MYS","cattle",2013,"A","ASIA","#D3D35D"
"KY322677/MYS/cattle/2013/A","MYS","cattle",2013,"A","ASIA","#EBEB98"
"KY322678/MYS/cattle/2013/A","MYS","cattle",2013,"A","ASIA","#D6D664"
"KY322679/THA/cattle/2014/A","THA","cattle",2014,"A","ASIA","#F2F2A8"
"KY322680/VNM/cattle/2013/A","VNM","cattle",2013,"A","ASIA","#F1F1A6"
"LC483874/THA/cow/2007/A","THA","cow",2007,"A","ASIA","#CCCC4B"
"LC564894/THA/cow/2007/A","THA","cow",2007,"A","ASIA","#CCCC4A"
"LC564895/THA/cow/2007/A","THA","cow",2007,"A","ASIA","#CECE4F"
"LC564896/THA/cow/2007/A","THA","cow",2007,"A","ASIA","#CDCD4E"
"LC564898/THA/cow/2008/A","THA","cow",2008,"A","ASIA","#CCCC4C"
"LC564900/THA/cow/2009/A","THA","cow",2009,"A","ASIA","#CFCF53"
"LC564901/THA/cow/2009/A","THA","cow",2009,"A","ASIA","#D1D156"
"LC564902/THA/cow/2010/A","THA","cow",2010,"A","ASIA","#D4D45E"
"LC564903/THA/cow/2010/A","THA","cow",2010,"A","ASIA","#D6D663"
"LC564904/THA/cow/2010/A","THA","cow",2010,"A","ASIA","#D5D561"
"LC564905/THA/cow/2011/A","THA","cow",2011,"A","ASIA","#D4D45F"
"LC564906/THA/cow/2011/A","THA","cow",2011,"A","ASIA","#D5D562"
"LC564907/THA/cow/2011/A","THA","cow",2011,"A","ASIA","#D5D560"
"LC564909/THA/cow/2012/A","THA","cow",2012,"A","ASIA","#D3D35C"
"LC564911/THA/cow/2013/A","THA","cow",2013,"A","ASIA","#E9E993"
"LC564912/THA/cow/2013/A","THA","cow",2013,"A","ASIA","#F3F3AB"
"LC564914/THA/cow/2014/A","THA","cow",2014,"A","ASIA","#F1F1A7"
"LC564915/THA/cow/2014/A","THA","cow",2014,"A","ASIA","#F3F3AA"
"LC564916/THA/cow/2014/A","THA","cow",2014,"A","ASIA","#D9D96A"
"LC564917/THA/cow/2015/A","THA","cow",2015,"A","ASIA","#D8D869"
"LC564918/THA/cow/2015/A","THA","cow",2015,"A","ASIA","#D8D868"
"LC564919/THA/cow/2015/A","THA","cow",2015,"A","ASIA","#D9D96B"
"LC564920/THA/cow/2015/A","THA","cow",2015,"A","ASIA","#D7D766"
"LC564921/THA/cow/2016/A","THA","cow",2016,"A","ASIA","#DADA6E"
"LC564922/THA/cow/2016/A","THA","cow",2016,"A","ASIA","#D8D867"
"LC564923/THA/cow/2016/A","THA","cow",2016,"A","ASIA","#DADA6C"
"LC771233/IRQ/water-buffalo/2023/A","IRQ","water-buffalo",2023,"A","AFRICA","#6FBDB1"
