GBAC,country,host,collection_date,serotype,Topotype
OQ211393/Unknown/goat/2007/O,Unknown,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211392/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211391/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211390/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211389/Unknown/goat/2006/O,Unknown,goat,2006,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211388/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211387/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211386/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211385/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211384/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211383/Unknown/gazelle/2007/O,Unknown,gazelle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211382/Unknown/gazelle/2007/O,Unknown,gazelle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211381/Unknown/gazelle/2007/O,Unknown,gazelle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211380/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211378/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211377/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211376/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211375/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211374/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211373/Unknown/goat/2007/O,Unknown,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211372/Unknown/goat/2007/O,Unknown,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211371/Unknown/goat/2007/O,Unknown,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211370/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211369/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211367/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211366/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211365/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211364/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211363/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211362/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211361/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
