GBAC,country,host,collection_date,serotype,Topotype,lineage,color
NC_039210/GBR/Unknown/1965/O,GBR,Unknown,1965,O,EUROPE-SOUTH-AMERICA-EURO-SA,,#BBBB21
OK205905/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA,Sea-97,#BAB5D8
OK318499/VNM/cattle/2016/A,VNM,cattle,2016,A,ASIA,Sea-97,#BDB9DC
OK318500/VNM/cattle/2017/A,VNM,cattle,2017,A,ASIA,Sea-97,#BEBADC
OK318501/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA,Sea-97,#C0BCDE
OK318521/VNM/pig/2018/O,VNM,pig,2018,O,CATHAY,,#B4B40F
OK318535/VNM/pig/2019/O,VNM,pig,2019,O,CATHAY,,#B6B613
OK318551/VNM/cattle/2016/O,VNM,cattle,2016,O,SOUTHEAST-ASIA-SEA,Mya-98,#D8D868
OM022646/NER/cattle/2017/O,NER,cattle,2017,O,EAST-AFRICA-3-EA-3,,#C0C02D
OM160625/DZA/sheep/2015/O,DZA,sheep,2015,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#E7E78E
OM455466/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA,Iran-05,#CFCBEB
OM455476/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA,Iran-05,#CECAEA
OM455477/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA,Iran-05,#D1CDED
OM455481/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA,Iran-05,#CAC6E7
OM455482/PAK/cattle/2009/A,PAK,cattle,2009,A,ASIA,Iran-05,#C5C1E2
OM455484/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA,Iran-05,#D0CCEC
OM456136/PAK/buffalo/2012/O,PAK,buffalo,2012,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EFEFA2
OM456149/PAK/cattle/2012/O,PAK,cattle,2012,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EEEE9E
OM456150/PAK/buffalo/2010/O,PAK,buffalo,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EDED9C
OM471679/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA,,#5DAEA2
OM471680/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA,,#5AAB9F
OM562501/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F69281
OM562534/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F5BF88
OM562542/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#E3AA62
OM562543/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#E7AE69
OM562544/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#FFA8A0
OM562547/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#E5AC66
OM562549/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F0856E
OM562557/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#FFCA9C
OM562560/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F7C18C
OM562563/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#EAB271
OM562571/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F2BB81
OM562572/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#EE7F67
OM562575/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F99A8D
OM562576/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F4BD84
OM562577/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#FDA59C
OM562578/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#FB9F94
OM562581/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#FCA298
OM562582/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#E9B06D
OM562585/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#FA9D90
OM562588/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F89789
OM562591/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F0B97D
OM562592/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F79585
OM562593/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#EF826B
OM562598/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F38D7A
OM562599/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F28A76
OM562600/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV,,#F18772
OM863581/KEN/cattle/2012/A,KEN,cattle,2012,A,AFRICA,,#847EA9
OM863582/KEN/cattle/2010/SAT1,KEN,cattle,2010,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#ECB475
OM863583/KEN/cattle/2013/SAT1,KEN,cattle,2013,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#E1A85E
ON557390/ZMB/cow/2015/SAT3,ZMB,cow,2015,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#558AAA
ON652966/VNM/cow/2015/A,VNM,cow,2015,A,ASIA,Sea-97,#BCB7DA
ON652984/VNM/cow/2015/A,VNM,cow,2015,A,ASIA,Sea-97,#BFBBDD
ON868578/VNM/cow/2019/O,VNM,cow,2019,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#F6F6B4
ON868582/VNM/cow/2018/O,VNM,cow,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FDFDC4
ON868583/VNM/Unknown/2018/O,VNM,Unknown,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FCFCC2
ON868586/VNM/cow/2017/O,VNM,cow,2017,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FAFABE
ON868587/VNM/cow/2017/O,VNM,cow,2017,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#F9F9BA
ON868588/VNM/water-buffalo/2018/O,VNM,water-buffalo,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#F8F8B8
ON868620/VNM/pig/2019/O,VNM,pig,2019,O,SOUTHEAST-ASIA-SEA,,#D3D35D
ON868622/VNM/pig/2017/O,VNM,pig,2017,O,CATHAY,,#B3B30D
ON868623/VNM/pig/2017/O,VNM,pig,2017,O,CATHAY,,#B5B511
OP751924/IDN/cattle/2022/O,IDN,cattle,2022,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E1E17E
OP957418/BGD/cattle/2021/O,BGD,cattle,2021,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EAEA94
OQ211406/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#F2F2A8
OQ238686/DEU/cow/1971/A,DEU,cow,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#938DB6
OQ256242/ISR/cow/1969/A,ISR,cow,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#928CB5
OQ356340/BRA/cow/2001/A,BRA,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A09BC1
OQ356342/ARG/cow/2001/A,ARG,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9B96BD
OQ356343/ARG/cow/2003/A,ARG,cow,2003,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9A95BC
OQ356344/URY/cow/2006/A,URY,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9893BB
OQ356345/ARG/cow/2006/A,ARG,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#918BB4
OQ356346/KEN/cow/2006/A,KEN,cow,2006,A,AFRICA,,#8680AB
OQ356348/IRQ/cow/2017/A,IRQ,cow,2017,A,ASIA,Iran-05,#C8C4E5
OQ356349/KEN/cow/2010/A,KEN,cow,2010,A,?',,#817BA6
OQ383267/BRA/cow/1963/C,BRA,cow,1963,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A3CC4B
OQ401874/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII,,#D84C1F
OQ427393/Unknown/cow/2009/C,Unknown,cow,2009,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#ADD75A
OQ427394/ARG/cow/1993/O,ARG,cow,1993,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B9B91B
OQ457195/NER/cattle/2020/O,NER,cattle,2020,O,EAST-AFRICA-3-EA-3,,#BFBF2B
OQ557396/ETH/cattle/1991/SAT2,ETH,cattle,1991,SAT2,XIV,,#D13904
OQ557397/ETH/cow/2022/SAT2,ETH,cow,2022,SAT2,XIV,,#D03701
OQ745961/THA/cattle/2016/A,THA,cattle,2016,A,ASIA,Sea-97,#BDB8DB
PP273559/IND/elephant/1988/A,IND,elephant,1988,A,ASIA,,#C1BDDF
X74812/Unknown/Unknown/1965/C,Unknown,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B7E169
