GBAC,country,host,collection_date,serotype,Topotype,lineage,color
HM229661/HKG/pig/2010/O,HKG,pig,2010,O,SOUTHEAST-ASIA-SEA,,#D2D259
HQ009509/CHN/pig/1999/O,CHN,pig,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F6F6B2
HQ113233/AFG/cow/2009/Asia1,AFG,cow,2009,Asia1,ASIA,,#81CCC0
HQ268509/VNM/Unknown/2004/A,VNM,Unknown,2004,A,ASIA,Sea-97,#B9B4D7
HQ632769/MYS/cattle/2001/O,MYS,cattle,2001,O,SOUTHEAST-ASIA-SEA,Cam-94,#CFCF53
HQ632771/MYS/pig/2005/O,MYS,pig,2005,O,CATHAY,,#AEAE00
HQ632774/MYS/cattle/1999/Asia1,MYS,cattle,1999,Asia1,ASIA,,#3D9487
HQ832577/IND/Unknown/1999/A,IND,Unknown,1999,A,ASIA,,#C2BEE0
HQ832583/IND/Unknown/2005/A,IND,Unknown,2005,A,ASIA,,#A9A4CA
HQ832584/IND/cattle/2005/A,IND,cattle,2005,A,ASIA,,#B2ADD1
HQ832585/IND/Unknown/2005/A,IND,Unknown,2005,A,ASIA,,#B0ABD0
HQ832586/IND/Unknown/2006/A,IND,Unknown,2006,A,ASIA,,#B1ACD1
HQ832588/IND/cattle/2005/A,IND,cattle,2005,A,ASIA,,#AFAACF
HQ832589/IND/cattle/2006/A,IND,cattle,2006,A,ASIA,,#AEA9CE
HQ832591/IND/cattle/2008/A,IND,cattle,2008,A,ASIA,,#ADA8CD
HQ832592/IND/cattle/2009/A,IND,cattle,2009,A,ASIA,,#ACA7CC
JF749841/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,ASIA,Iran-05,#C4C0E2
JF749843/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,AFRICA,,#8781AB
JF749848/Unknown/Unknown/2003/A,Unknown,Unknown,2003,A,ASIA,,#A8A3C8
JF749849/Unknown/Unknown/2002/Asia1,Unknown,Unknown,2002,Asia1,ASIA,,#7EC9BD
JF749851/Unknown/Unknown/2001/O,Unknown,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F2F2AA
JF749852/Unknown/Unknown/2004/O,Unknown,Unknown,2004,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EAEA96
JF749860/Unknown/Unknown/2002/SAT1,Unknown,Unknown,2002,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#DCA252
JF749861/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,IV,,#EA775B
JF749862/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,X,,#D44110
JF749864/Unknown/Unknown/2003/SAT2,Unknown,Unknown,2003,SAT2,I,,#E05F39
JN006719/Unknown/Unknown/2008/Asia1,Unknown,Unknown,2008,Asia1,ASIA,,#64B4A8
JN006720/Unknown/Unknown/2009/Asia1,Unknown,Unknown,2009,Asia1,ASIA,,#61B1A5
JN006722/Unknown/Unknown/2008/A,Unknown,Unknown,2008,A,ASIA,Iran-05,#CBC7E7
JX869178/GBR/cattle/1967/O,GBR,cattle,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#BABA1D
KC440881/EGY/Unknown/2011/A,EGY,Unknown,2011,A,AFRICA,,#8D87B0
KC440882/EGY/Unknown/2012/A,EGY,Unknown,2012,A,ASIA,Iran-05,#C7C3E4
KC440883/EGY/Unknown/2011/O,EGY,Unknown,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#F1F1A6
KC440884/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII,,#D7491B
KF112884/RUS/cattle/2010/O,RUS,cattle,2010,O,SOUTHEAST-ASIA-SEA,Mya-98,#D9D96A
KF985189/BGD/cattle/2013/O,BGD,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E4E486
KJ754939/BGD/cattle/2013/A,BGD,cattle,2013,A,ASIA,,#ABA6CC
KJ820999/UGA/cattle/2013/SAT3,UGA,cattle,2013,SAT3,V-East-Africa-EA,,#3f6f8c
KJ933864/MYS/Unknown/1997/A,MYS,Unknown,1997,A,ASIA,Sea-97,#B3AED2
KM268895/TUR/cattle/2013/O,TUR,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#F0F0A4
KM268896/TUR/cattle/2013/A,TUR,cattle,2013,A,ASIA,Iran-05,#C9C5E6
KM268900/TZA/cattle/2012/SAT2,TZA,cattle,2012,SAT2,IV,,#E97458
KM268901/ZWE/cattle/1991/SAT3,ZWE,cattle,1991,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#8EBFE1
KP940473/EGY/cattle/2014/O,EGY,cattle,2014,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#DADA6C
KR108950/ZAF/african-buffalo/2009/SAT3,ZAF,african-buffalo,2009,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#83B4D6
KU204893/CHN/pig/2013/O,CHN,pig,2013,O,CATHAY,,#B2B209
KU204894/CHN/pig/2013/O,CHN,pig,2013,O,CATHAY,,#B2B20B
KU360085/CHN/pig/2015/Asia1,CHN,pig,2015,Asia1,ASIA,,#4FA296
KU726614/GRC/sheep/1994/O,GRC,sheep,1994,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#DCDC72
KU821590/NAM/cow/2010/SAT1,NAM,cow,2010,SAT1,III-WESTERN-ZIMBABWE-WZ,,#BF8015
KU821592/ZMB/cow/2009/SAT2,ZMB,cow,2009,SAT2,III,,#E87254
KX534089/KOR/pig/2016/O,KOR,pig,2016,O,SOUTHEAST-ASIA-SEA,,#D2D25B
KY072818/CHN/cattle/1959/O,CHN,cattle,1959,O,CATHAY,,#B6B615
KY322672/MYS/cattle/2014/O,MYS,cattle,2014,O,SOUTHEAST-ASIA-SEA,,#D0D055
KY322673/MYS/cattle/2014/O,MYS,cattle,2014,O,SOUTHEAST-ASIA-SEA,Mya-98,#D7D766
KY322678/MYS/cattle/2013/A,MYS,cattle,2013,A,ASIA,Sea-97,#B8B3D7
KY444644/THA/pig/2013/O,THA,pig,2013,O,SOUTHEAST-ASIA-SEA,Mya-98,#D6D664
KY444649/THA/pig/2016/O,THA,pig,2016,O,SOUTHEAST-ASIA-SEA,,#D1D157
