GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
OQ211381/ISR/gazelle/2007/O/ME-SA/PanAsia-2,2007,ISR,gazelle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211380/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211378/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211377/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211376/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211375/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211373/ISR/goat/2007/O/ME-SA/PanAsia-2,2007,ISR,goat,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211372/ISR/goat/2007/O/ME-SA/PanAsia-2,2007,ISR,goat,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211371/PSE/goat/2007/O/ME-SA/PanAsia-2,2007,PSE,goat,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211370/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211369/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211367/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211366/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211365/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211364/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211363/ISR/sheep/2007/O/ME-SA/PanAsia-2,2007,ISR,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211362/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211361/ISR/sheep/2007/O/ME-SA/PanAsia-2,2007,ISR,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211360/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211359/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211358/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211357/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
