# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 22:48:09 MSK 2025 [seed=1735846506594]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
105000	-7707.066540440938	-7760.9078903406735	-53.84134989973539	1.0	-7760.9078903406735
106000	-7705.650941748608	-7758.61880878591	-52.96786703730213	1.0	-7758.61880878591
107000	-7702.515110113528	-7746.301688516901	-43.78657840337332	1.0	-7746.301688516901
108000	-7709.514074953747	-7758.2310948574595	-48.7170199037129	1.0	-7758.2310948574595
109000	-7701.598739898408	-7746.856800559097	-45.2580606606889	1.0	-7746.856800559097
110000	-7704.877039525793	-7755.295917100896	-50.41887757510266	1.0	-7755.295917100896
111000	-7700.8854838974685	-7755.487871243298	-54.60238734583011	1.0	-7755.487871243298
112000	-7708.33564702149	-7756.365520461861	-48.02987344037081	1.0	-7756.365520461861
113000	-7702.135886400793	-7754.260038553363	-52.12415215257025	1.0	-7754.260038553363
114000	-7704.221611417394	-7755.522801955192	-51.301190537797545	1.0	-7755.522801955192
115000	-7699.621160880208	-7761.298140990417	-61.67698011020919	1.0	-7761.298140990417
116000	-7704.280676231689	-7753.257526282983	-48.97685005129447	1.0	-7753.257526282983
117000	-7704.26489145168	-7760.380641320864	-56.115749869183496	1.0	-7760.380641320864
118000	-7702.229051959189	-7766.726658008001	-64.49760604881288	1.0	-7766.726658008001
119000	-7705.414047084202	-7759.398335890101	-53.98428880589937	1.0	-7759.398335890101
120000	-7710.287183732576	-7770.867384050266	-60.58020031769053	1.0	-7770.867384050266
121000	-7707.528323304965	-7761.2218960458895	-53.693572740924566	1.0	-7761.2218960458895
122000	-7708.564106350048	-7766.495784476295	-57.93167812624654	1.0	-7766.495784476295
123000	-7704.438724609352	-7774.221731527188	-69.78300691783602	1.0	-7774.221731527188
124000	-7702.356500096693	-7754.214626371885	-51.85812627519254	1.0	-7754.214626371885
125000	-7706.530715849209	-7776.245277329411	-69.71456148020242	1.0	-7776.245277329411
126000	-7710.482710543264	-7782.969905424843	-72.48719488157892	1.0	-7782.969905424843
127000	-7697.395036786054	-7774.822300867977	-77.42726408192244	1.0	-7774.822300867977
128000	-7700.029699121475	-7768.424610000465	-68.39491087899006	1.0	-7768.424610000465
129000	-7710.211765477167	-7772.70387732389	-62.492111846722786	1.0	-7772.70387732389
130000	-7701.99922151579	-7762.338791425358	-60.33956990956837	1.0	-7762.338791425358
131000	-7700.8661590195525	-7765.384387615666	-64.51822859611408	1.0	-7765.384387615666
132000	-7702.510622360654	-7767.100057397137	-64.58943503648236	1.0	-7767.100057397137
133000	-7706.440474550233	-7753.571734546098	-47.13125999586474	1.0	-7753.571734546098
134000	-7697.916413624462	-7749.465529231124	-51.54911560666156	1.0	-7749.465529231124
135000	-7705.064133030378	-7764.069293683846	-59.00516065346805	1.0	-7764.069293683846
136000	-7702.83637054683	-7769.404458981403	-66.56808843457299	1.0	-7769.404458981403
137000	-7705.319306772131	-7772.38188613835	-67.06257936621815	1.0	-7772.38188613835
138000	-7704.133669613893	-7771.454354148137	-67.32068453424381	1.0	-7771.454354148137
139000	-7707.446247843394	-7765.675264244602	-58.22901640120726	1.0	-7765.675264244602
140000	-7701.347311815495	-7761.8937729873	-60.54646117180462	1.0	-7761.8937729873
141000	-7708.3251629688175	-7766.136142567292	-57.81097959847483	1.0	-7766.136142567292
142000	-7710.959953331529	-7767.498943972441	-56.5389906409124	1.0	-7767.498943972441
143000	-7704.409416258526	-7755.8015092132	-51.39209295467434	1.0	-7755.8015092132
144000	-7700.6167269816415	-7756.674210485413	-56.057483503771735	1.0	-7756.674210485413
145000	-7703.713847459939	-7757.494646381083	-53.78079892114406	1.0	-7757.494646381083
146000	-7707.7296333036065	-7764.140026866334	-56.41039356272685	1.0	-7764.140026866334
147000	-7704.445696802294	-7774.233674403528	-69.78797760123398	1.0	-7774.233674403528
148000	-7691.687853283807	-7786.109495508268	-94.42164222446047	1.0	-7786.109495508268
149000	-7685.575472545791	-7776.346281019178	-90.77080847338705	1.0	-7776.346281019178
150000	-7692.832489696786	-7774.230929970334	-81.39844027354738	1.0	-7774.230929970334
151000	-7698.222403525892	-7763.4960739144035	-65.2736703885111	1.0	-7763.4960739144035
152000	-7704.398159259627	-7768.358227154793	-63.96006789516589	1.0	-7768.358227154793
153000	-7691.086286439185	-7778.504701143767	-87.41841470458235	1.0	-7778.504701143767
154000	-7676.206386317978	-7793.111474563762	-116.90508824578399	1.0	-7793.111474563762
155000	-7658.454183695874	-7796.402364766426	-137.9481810705519	1.0	-7796.402364766426
156000	-7632.489685125864	-7802.460998601633	-169.97131347576902	1.0	-7802.460998601633
157000	-7667.26357432424	-7796.104886172809	-128.84131184856886	1.0	-7796.104886172809
158000	-7563.387690601523	-7807.076720346798	-243.68902974527506	1.0	-7807.076720346798
159000	-7618.3902541785465	-7808.425426682119	-190.03517250357237	1.0	-7808.425426682119
160000	-7575.098841419756	-7804.952572370902	-229.85373095114542	1.0	-7804.952572370902
161000	-7588.83862414757	-7808.354112002523	-219.51548785495277	1.0	-7808.354112002523
