# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 20:30:08 MSK 2025 [seed=1735838298589]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
91000	-7718.391294265138	-7832.229867817461	-113.8385735523235	1.0	-7832.229867817461
92000	-7720.217261343612	-7838.639092413961	-118.42183107034911	1.0	-7838.639092413961
93000	-7714.262193601766	-7830.575404257362	-116.3132106555958	1.0	-7830.575404257362
94000	-7716.092239813193	-7831.046722598305	-114.95448278511144	1.0	-7831.046722598305
95000	-7721.8804400193085	-7839.230287182287	-117.34984716297856	1.0	-7839.230287182287
96000	-7715.636403079924	-7833.553117778571	-117.91671469864625	1.0	-7833.553117778571
97000	-7719.303700364018	-7833.896042390787	-114.59234202676915	1.0	-7833.896042390787
98000	-7717.251250761514	-7831.509425229922	-114.25817446840864	1.0	-7831.509425229922
99000	-7712.573790443154	-7835.819121186121	-123.24533074296683	1.0	-7835.819121186121
100000	-7714.396120654257	-7837.024076380509	-122.6279557262517	1.0	-7837.024076380509
101000	-7716.5470218246255	-7843.190251291437	-126.64322946681116	1.0	-7843.190251291437
102000	-7713.322847957669	-7838.578168272805	-125.25532031513579	1.0	-7838.578168272805
103000	-7712.828681156408	-7835.165140316845	-122.33645916043783	1.0	-7835.165140316845
104000	-7714.681273023166	-7833.581679138435	-118.90040611526885	1.0	-7833.581679138435
105000	-7716.428998652291	-7829.036839597937	-112.60784094564623	1.0	-7829.036839597937
106000	-7713.654873735165	-7831.683551828167	-118.02867809300167	1.0	-7831.683551828167
107000	-7714.184160022522	-7841.001082134472	-126.81692211195025	1.0	-7841.001082134472
108000	-7719.187067634318	-7834.448634945232	-115.26156731091362	1.0	-7834.448634945232
109000	-7721.940503570662	-7841.710727252304	-119.77022368164188	1.0	-7841.710727252304
110000	-7720.7026290065805	-7842.443769912996	-121.74114090641544	1.0	-7842.443769912996
