"GBAC","country","host","collection_date","serotype","Topotype","color"
"OM471634/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E0E07B"
"OM471635/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DFDF7A"
"OM471636/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DEDE77"
"OM471637/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E9E993"
"OM471638/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EBEB98"
"OM471639/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#ECEC99"
"OM471640/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F1F1A6"
"OM471641/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EAEA96"
"OM471642/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EEEEA0"
"OM471643/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EDED9D"
"OM471644/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EEEE9E"
"OM471645/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F0F0A3"
"OM471646/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EAEA94"
"OM471647/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DADA6E"
"OM471648/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E8E891"
"OM471649/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F0F0A5"
"OM471650/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E1E17F"
"OM471651/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E5E589"
"OM471652/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E6E68C"
"OM471653/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E8E88F"
"OM471654/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F2F2AA"
"OM471655/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E6E68A"
"OM471656/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F6F6B4"
"OM471657/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F8F8B9"
"OM471658/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E7E78E"
"OM471659/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D8D869"
"OM471660/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DCDC72"
"OM471661/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#CFCF52"
"OM471662/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#E4E485"
"OM471663/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#E3E384"
"OM471664/PAK/buffalo/2011/Asia1","PAK","buffalo",2011,"Asia1","ASIA","#D4D45E"
"OM471665/PAK/buffalo/2011/Asia1","PAK","buffalo",2011,"Asia1","ASIA","#D4D45F"
"OM471666/PAK/buffalo/2011/Asia1","PAK","buffalo",2011,"Asia1","ASIA","#D6D663"
"OM471667/PAK/buffalo/2011/Asia1","PAK","buffalo",2011,"Asia1","ASIA","#D3D35C"
"OM471668/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D7D766"
"OM471669/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D8D868"
"OM471670/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DBDB70"
"OM471671/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D1D157"
"OM471672/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D2D25A"
"OM471673/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#DDDD75"
"OM471674/PAK/cattle/2011/Asia1","PAK","cattle",2011,"Asia1","ASIA","#DADA6D"
"OM471675/PAK/cattle/2011/Asia1","PAK","cattle",2011,"Asia1","ASIA","#D9D96B"
"OM471676/PAK/cattle/2011/Asia1","PAK","cattle",2011,"Asia1","ASIA","#D5D561"
"OM471677/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#D6D664"
"OM471678/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D0D055"
"OM471679/PAK/cattle/2012/Asia1","PAK","cattle",2012,"Asia1","ASIA","#D2D259"
"OM471680/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DCDC73"
"OQ356337/PAK/cow/2006/Asia1","PAK","cow",2006,"Asia1","ASIA","#C1C12F"
"OQ356338/ISR/cow/2006/Asia1","ISR","cow",2006,"Asia1","ASIA","#C4C436"
