"GBAC","country","host","collection_date","serotype","Topotype","color"
"OM562557/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C0C02D"
"OM562558/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C6C63D"
"OM562559/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C4C436"
"OM562560/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C5C53A"
"OM562563/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#F0F0A4"
"OM562565/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#F1F1A7"
"OM562566/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#F5F5B1"
"OM562571/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#E2E281"
"OM562576/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#E3E384"
"OM562582/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#CFCF53"
"OM562590/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#F4F4AE"
"OM562591/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#F3F3AA"
"OM562601/KEN/cow/2014/SAT1","KEN","cow",2014,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C2C233"
"OM562602/KEN/cow/2014/SAT1","KEN","cow",2014,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#BEBE29"
"OM863582/KEN/cattle/2010/SAT1","KEN","cattle",2010,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B5B513"
"OM863583/KEN/cattle/2013/SAT1","KEN","cattle",2013,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C8C840"
