GBAC,country,host,collection_date,serotype,Topotype
OQ238685/ARG/cow/1990/A,ARG,cow,1990,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ745961/THA/cattle/2016/A,THA,cattle,2016,A,ASIA
LC771233/IRQ/water-buffalo/2023/A,IRQ,water-buffalo,2023,A,AFRICA
ON868621/VNM/cow/2017/A,VNM,cow,2017,A,ASIA
OM863581/KEN/cattle/2012/A,KEN,cattle,2012,A,AFRICA
OM863580/EGY/cattle/2012/A,EGY,cattle,2012,A,AFRICA
OK318510/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318509/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318508/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318507/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318506/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318505/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318504/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318503/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318502/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318501/VNM/cattle/2019/A,VNM,cattle,2019,A,ASIA
OK318500/VNM/cattle/2017/A,VNM,cattle,2017,A,ASIA
OK318499/VNM/cattle/2016/A,VNM,cattle,2016,A,ASIA
OK205907/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205906/VNM/cattle/2013/A,VNM,cattle,2013,A,ASIA
OK205905/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205904/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205903/VNM/pig/2014/A,VNM,pig,2014,A,ASIA
OK205902/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205901/VNM/buffalo/2014/A,VNM,buffalo,2014,A,ASIA
OK205900/VNM/cattle/2015/A,VNM,cattle,2015,A,ASIA
OK205899/VNM/cattle/2015/A,VNM,cattle,2015,A,ASIA
OK205898/VNM/cattle/2013/A,VNM,cattle,2013,A,ASIA
OK205897/VNM/pig/2015/A,VNM,pig,2015,A,ASIA
OK205896/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205895/VNM/cattle/2014/A,VNM,cattle,2014,A,ASIA
OK205894/VNM/buffalo/2014/A,VNM,buffalo,2014,A,ASIA
OK205893/VNM/cattle/2013/A,VNM,cattle,2013,A,ASIA
OM455484/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455483/PAK/cattle/2012/A,PAK,cattle,2012,A,ASIA
OM455482/PAK/cattle/2009/A,PAK,cattle,2009,A,ASIA
OM455481/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455480/PAK/cattle/2008/A,PAK,cattle,2008,A,ASIA
OM455479/PAK/cattle/2012/A,PAK,cattle,2012,A,ASIA
OM455478/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455477/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455476/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455475/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455474/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455473/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455472/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455471/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455470/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455469/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455468/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455467/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455466/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
OM455465/PAK/buffalo/2012/A,PAK,buffalo,2012,A,ASIA
MG334583/IRQ/cow/2009/A,IRQ,cow,2009,A,ASIA
LC564923/THA/cow/2016/A,THA,cow,2016,A,ASIA
LC564922/THA/cow/2016/A,THA,cow,2016,A,ASIA
LC564921/THA/cow/2016/A,THA,cow,2016,A,ASIA
LC564920/THA/cow/2015/A,THA,cow,2015,A,ASIA
LC564919/THA/cow/2015/A,THA,cow,2015,A,ASIA
LC564918/THA/cow/2015/A,THA,cow,2015,A,ASIA
LC564917/THA/cow/2015/A,THA,cow,2015,A,ASIA
LC564916/THA/cow/2014/A,THA,cow,2014,A,ASIA
LC564915/THA/cow/2014/A,THA,cow,2014,A,ASIA
LC564914/THA/cow/2014/A,THA,cow,2014,A,ASIA
LC564912/THA/cow/2013/A,THA,cow,2013,A,ASIA
LC564911/THA/cow/2013/A,THA,cow,2013,A,ASIA
LC564909/THA/cow/2012/A,THA,cow,2012,A,ASIA
LC564907/THA/cow/2011/A,THA,cow,2011,A,ASIA
LC564906/THA/cow/2011/A,THA,cow,2011,A,ASIA
LC564905/THA/cow/2011/A,THA,cow,2011,A,ASIA
LC564904/THA/cow/2010/A,THA,cow,2010,A,ASIA
LC564903/THA/cow/2010/A,THA,cow,2010,A,ASIA
LC564902/THA/cow/2010/A,THA,cow,2010,A,ASIA
LC564901/THA/cow/2009/A,THA,cow,2009,A,ASIA
LC564900/THA/cow/2009/A,THA,cow,2009,A,ASIA
LC564898/THA/cow/2008/A,THA,cow,2008,A,ASIA
